POPTOT-SN-RGPHAE-2013,,13 508 715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION DE LA REGION DE DAKAR - 2013-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
CA. DALIFORD,15 755,14 663,30418,16238,15113,31351,16727,15568,32294,17222,16029,33251,17724,16496,34220,18231,16968,35199,18743,17445,36188,19259,17925,37184,19778,18408,38186,20300,18893,39193,20824,19381,40205,21350,19871,41222,21879,20363,42242
CA. DJIDAH THIAROYE KAO,49 170,47 781,96952,50679,49248,99927,52203,50729,102932,53749,52231,105981,55316,53753,109070,56899,55292,112192,58497,56845,115343,60107,58410,118518,61727,59984,121711,63355,61566,124921,64991,63155,128146,66634,64752,131386,68284,66355,134639
CA. GUINAW RAIL NORD,15 462,14 595,30058,15937,15043,30980,16416,15496,31912,16902,15955,32857,17395,16420,33815,17893,16890,34783,18395,17364,35760,18902,17842,36744,19411,18323,37734,19923,18806,38729,20437,19292,39729,20954,19779,40734,21473,20269,41742
CA. GUINAW RAIL SUD,20 693,19 166,39859,21328,19754,41082,21970,20348,42317,22621,20951,43571,23280,21561,44841,23946,22178,46124,24619,22801,47420,25296,23429,48725,25978,24060,50038,26663,24695,51358,27352,25332,52684,28043,25973,54016,28737,26616,55353
ARRONDISSEMENT THIAROYE,173697,169303,343000,179027,174498,353525,184410,179745,364156,189873,185070,374944,195406,190463,385870,201000,195915,396915,206645,201417,408063,212333,206961,419295,218054,212538,430594,223805,218144,441950,229584,223776,453361,235388,229434,464823,241217,235114,476332
CA. THIAROYE /MER,26 193,26 580,52773,26997,27396,54392,27809,28219,56028,28633,29055,57688,29467,29902,59369,30310,30758,61068,31162,31622,62783,32019,32492,64512,32882,33368,66250,33749,34248,67997,34621,35132,69753,35496,36020,71516,36375,36912,73287
CA. DIACK SAO,20 824,19 737,40561,21463,20342,41806,22108,20954,43063,22763,21575,44339,23427,22203,45631,24097,22839,46937,24774,23480,48255,25456,24127,49583,26142,24777,50919,26831,25430,52262,27524,26087,53612,28220,26746,54967,28919,27409,56328
CA. DIAMAGUENE/SICAP M’BAO,66 069,62 443,128512,68096,64359,132455,70144,66295,136438,72222,68259,140481,74326,70248,144574,76454,72259,148712,78601,74288,152889,80765,76333,157098,82941,78390,161331,85129,80457,165586,87327,82535,169861,89534,84621,174155,91751,86716,178468
CA. THIAROYE GARE,12 626,12 208,24834,13013,12583,25596,13404,12961,26366,13802,13345,27147,14204,13734,27938,14610,14127,28738,15021,14524,29545,15434,14923,30358,15850,15326,31176,16268,15730,31998,16688,16136,32824,17110,16544,33654,17534,16953,34488
CA. M’BAO,47 985,48 335,96320,49457,49818,99276,50944,51316,102261,52454,52836,105290,53982,54376,108359,55528,55932,111460,57087,57503,114591,58658,59086,117745,60239,60678,120918,61828,62279,124107,63424,63887,127311,65028,65502,130530,66638,67124,133762
