POPTOT-SN-RGPHAE-2013,,13 508 715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION DE LA REGION DE DAKAR - 2013-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
CR. DIAROUME,9 188,8 738,17926,9495,9030,18524,9812,9332,19144,10143,9646,19789,10487,9973,20459,10845,10313,21158,11217,10667,21884,11604,11036,22639,12007,11419,23426,12426,11818,24244,12863,12233,25096,13317,12665,25982,13789,13114,26903
CR. DIAMBATY,4 987,5 287,10274,5153,5463,10617,5326,5646,10972,5505,5836,11342,5692,6034,11726,5886,6240,12126,6088,6454,12542,6298,6677,12975,6517,6909,13426,6745,7150,13895,6982,7401,14383,7228,7663,14891,7484,7934,15419
CR. FAOUNE,6 911,6 549,13460,7142,6767,13909,7381,6994,14374,7629,7230,14859,7888,7475,15362,8157,7730,15886,8437,7995,16432,8728,8271,16999,9032,8558,17589,9347,8857,18204,9675,9168,18843,10017,9492,19509,10372,9829,20200
DEPARTEMENT GOUDOMP,78341,77754,156095,80953,80347,161300,83663,83036,166699,86481,85833,172315,89413,88743,178156,92463,91771,184234,95637,94920,190557,98939,98198,197137,102376,101608,203984,105952,105158,211110,109674,108852,218526,113546,112695,226242,117572,116691,234263
COM. GOUDOMP,6 628,6 242,12869,6849,6450,13298,7078,6666,13743,7316,6890,14206,7564,7124,14688,7822,7367,15189,8091,7620,15710,8370,7883,16253,8661,8157,16817,8964,8442,17405,9278,8738,18016,9606,9047,18652,9947,9367,19313
COM. DIATTACOUNDA,2 324,2 032,4356,2401,2100,4501,2482,2170,4652,2565,2243,4809,2652,2319,4972,2743,2398,5141,2837,2481,5318,2935,2566,5501,3037,2656,5692,3143,2748,5891,3253,2845,6098,3368,2945,6314,3488,3050,6537
COM. SAMINE,2 532,2 316,4848,2617,2393,5010,2704,2473,5177,2795,2556,5352,2890,2643,5533,2989,2733,5722,3091,2827,5918,3198,2925,6123,3309,3026,6335,3425,3132,6557,3545,3242,6787,3670,3357,7027,3800,3476,7276
COM. TANAFF,2 585,2 246,4831,2671,2321,4992,2761,2398,5159,2854,2479,5333,2951,2563,5514,3051,2650,5702,3156,2741,5898,3265,2836,6101,3378,2935,6313,3496,3037,6534,3619,3144,6763,3747,3255,7002,3880,3370,7250
ARRONDISSEMENT DJIBANAR,31171,30463,61634,32210,31479,63689,33289,32532,65821,34410,33628,68038,35576,34768,70345,36790,35955,72745,38053,37189,75241,39367,38473,77839,40734,39809,80543,42157,41200,83357,43638,42647,86285,45179,44153,89331,46781,45718,92499
CR. DJIBANAR,5 255,5 292,10548,5431,5469,10900,5612,5652,11265,5801,5842,11644,5998,6040,12039,6203,6246,12449,6416,6461,12877,6637,6684,13321,6868,6916,13784,7108,7157,14266,7357,7409,14767,7617,7670,15288,7887,7942,15830
CR. KAOUR,2 447,2 338,4785,2529,2416,4945,2613,2497,5110,2701,2581,5282,2793,2668,5461,2888,2759,5648,2987,2854,5841,3091,2952,6043,3198,3055,6253,3310,3162,6471,3426,3273,6699,3547,3388,6935,3673,3508,7181
CR. MANGAROUNGOU SANTO,6 294,6 191,12485,6503,6397,12901,6721,6612,13333,6947,6834,13782,7183,7066,14250,7428,7307,14736,7683,7558,15241,7948,7819,15768,8224,8090,16315,8512,8373,16885,8811,8667,17478,9122,8973,18096,9445,9291,18737
CR. SIMBADI BALANTE,10 889,10 623,21512,11252,10977,22229,11628,11345,22973,12020,11727,23747,12428,12124,24552,12852,12538,25390,13293,12968,26261,13752,13416,27168,14229,13882,28112,14726,14367,29094,15244,14872,30116,15782,15397,31179,16342,15943,32285
CR. YARANG BALANTE,6 286,6 019,12305,6496,6220,12715,6713,6428,13141,6940,6645,13584,7175,6870,14044,7420,7104,14523,7674,7348,15022,7939,7602,15540,8215,7866,16080,8502,8140,16642,8801,8426,17226,9111,8724,17835,9434,9033,18467
ARRONDISSEMENT KARANTABA,11729,12094,23823,12120,12497,24617,12526,12916,25441,12948,13351,26298,13387,13803,27190,13843,14274,28118,14319,14764,29083,14813,15274,30087,15327,15804,31132,15863,16356,32219,16420,16931,33351,17000,17529,34529,17603,18150,35753
CR. KARANTABA,7 064,7 188,14251,7299,7427,14726,7543,7676,15219,7798,7935,15732,8062,8204,16265,8337,8484,16820,8623,8775,17397,8921,9078,17998,9231,9393,18623,9553,9721,19274,9889,10063,19951,10238,10418,20655,10601,10787,21388
CR. KOLIBANTANG,4 666,4 907,9572,4821,5070,9891,4983,5240,10222,5151,5416,10567,5325,5600,10925,5507,5791,11298,5696,5990,11685,5893,6197,12089,6097,6412,12509,6310,6636,12946,6532,6869,13400,6762,7112,13873,7002,7364,14365
ARRONDISSEMENT SIMBANDI BRASS,21372,22362,43734,22085,23108,45192,22824,23881,46705,23593,24686,48278,24393,25522,49915,25225,26393,51618,26090,27299,53389,26991,28242,55233,27929,29223,57151,28904,30243,59148,29920,31306,61226,30976,32411,63387,32075,33560,65635
CR. NIAGHA,5 959,6 365,12324,6157,6577,12735,6364,6797,13161,6578,7026,13605,6801,7264,14066,7033,7512,14546,7274,7770,15045,7525,8038,15564,7787,8317,16105,8059,8608,16668,8342,8910,17253,8637,9225,17862,8943,9552,18496
CR. SIMBANDI BRASSOU,7 493,7 613,15106,7743,7867,15610,8003,8130,16132,8272,8404,16676,8552,8689,17241,8844,8985,17829,9148,9294,18441,9464,9615,19078,9792,9949,19740,10134,10296,20430,10490,10658,21148,10861,11034,21894,11246,11425,22671
CR. BAGHERE,5 250,5 547,10797,5426,5732,11157,5607,5924,11530,5796,6123,11919,5992,6331,12323,6197,6547,12743,6410,6772,13181,6631,7005,13636,6861,7249,14109,7101,7502,14602,7350,7765,15115,7610,8040,15649,7880,8325,16204
CR. DIOUBOUDOU,2 670,2 838,5507,2759,2932,5691,2851,3030,5881,2947,3133,6079,3047,3239,6285,3151,3349,6500,3259,3464,6723,3372,3584,6955,3489,3708,7197,3611,3838,7448,3738,3973,7710,3870,4113,7982,4007,4259,8265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
REGION TAMBACOUNDA,344474,336836,681310,356615,348781,705396,369255,361218,730473,382416,374172,756588,396116,387661,783777,410377,401698,812075,425218,416300,841518,440664,431492,872156,456736,447296,904032,473447,463735,937182,490823,480837,971660,508888,498623,1007511,527664,517117,1044781
ZONE URBAINE,82182,79256,161439,86301,84405,170706,90098,88137,178235,94457,92420,186877,99029,96915,195944,103825,101630,205455,108431,106156,214587,113691,111325,225016,119208,116744,235952,124517,121962,246479,130559,127903,258462,136891,134129,271020,142997,140139,283136
ZONE RURALE,262 292,257 579,519 871,270314,264376,534690,279157,273081,552238,287959,281751,569710,297087,290746,587833,306552,300068,606620,316787,310143,626930,326972,320167,647139,337528,330552,668080,348931,341773,690704,360264,352934,713198,371997,364493,736490,384667,376979,761646
DEPARTEMENT BAKEL,70281,68586,138867,72766,71011,143776,75352,73535,148888,78046,76164,154210,80851,78901,159752,83770,81750,165520,86807,84714,171521,89968,87798,177766,91007,91007,184263,96676,94344,191020,100232,97815,198047,103930,101424,205354,107775,105176,212951
COM. BAKEL,7 105,6 224,13329,7356,6444,13800,7618,6673,14291,7890,6911,14802,8173,7160,15334,8469,7418,15887,8776,7687,16463,9095,7967,17063,8258,8258,17686,9773,8561,18335,10133,8876,19009,10507,9204,19711,10895,9544,20440
COM. DIAWARA,3 714,3 827,7540,3845,3962,7807,3982,4103,8084,4124,4249,8373,4272,4402,8674,4427,4561,8987,4587,4726,9313,4754,4898,9652,5078,5078,10005,5108,5264,10372,5296,5457,10753,5492,5659,11150,5695,5868,11563
COM .KIDIRA,5 557,4 507,10065,5754,4667,10421,5958,4833,10791,6171,5005,11177,6393,5185,11579,6624,5372,11997,6864,5567,12432,7114,5770,12884,5981,5981,13355,7644,6200,13845,7926,6428,14354,8218,6665,14884,8522,6912,15435
ARRONDISSEMENT KENIABA,9409,9 277,18686,9742,9605,19347,10088,9946,20034,10449,10302,20751,10824,10672,21496,11215,11058,22272,11621,11458,23080,12045,11876,23920,12310,12310,24795,12943,12761,25704,13419,13231,26649,13914,13719,27633,14429,14226,28655
CR. GATHIARY,1 467,1 571,3039,1519,1627,3146,1573,1685,3258,1629,1745,3375,1688,1808,3496,1749,1873,3622,1812,1941,3754,1878,2012,3890,2085,2085,4032,2018,2162,4180,2093,2241,4334,2170,2324,4494,2250,2410,4660
CR. MADINA FOULBE,1 167,1 156,2323,1208,1197,2405,1251,1239,2491,1296,1283,2580,1343,1330,2672,1391,1378,2769,1442,1427,2869,1494,1479,2974,1534,1534,3082,1605,1590,3195,1665,1648,3313,1726,1709,3435,1790,1772,3562
CR. SADATOU,5 100,4 742,9842,5280,4910,10190,5468,5084,10552,5663,5266,10929,5866,5455,11322,6078,5652,11731,6299,5857,12156,6528,6070,12599,6292,6292,13059,7015,6523,13538,7273,6763,14036,7541,7012,14554,7820,7272,15093
CR. TOUMBOURA,1 675,1 808,3483,1734,1872,3606,1796,1939,3734,1860,2008,3868,1927,2080,4007,1997,2155,4151,2069,2233,4302,2144,2315,4459,2399,2399,4622,2304,2487,4791,2389,2579,4967,2477,2674,5151,2569,2773,5341
ARRONDISSEMENT BELE ex KIDIRA,12585,12726,25311,13030,13176,26206,13493,13644,27137,13976,14132,28108,14478,14640,29118,15000,15169,30169,15544,15718,31263,16110,16291,32401,16886,16886,33585,17311,17505,34817,17948,18149,36098,18611,18819,37430,19299,19515,38814
CR. BELE,8 489,8 497,16986,8789,8798,17586,9101,9110,18212,9426,9436,18863,9765,9775,19541,10118,10128,20246,10485,10495,20980,10866,10877,21744,11275,11275,22539,11677,11688,23365,12106,12118,24225,12553,12566,25119,13017,13030,26048
CR. SINTHIOU-FISSA,4 097,4 229,8326,4241,4379,8620,4392,4534,8927,4549,4696,9246,4713,4865,9578,4883,5041,9924,5060,5224,10284,5244,5414,10658,5612,5612,11048,5635,5817,11453,5842,6031,11874,6058,6254,12312,6282,6485,12768
ARRONDISSEMENT MOUDERY,31911,32025,63936,33039,33157,66196,34214,34336,68550,35437,35563,71000,36710,36841,73552,38036,38172,76207,39415,39556,78970,40850,40996,81846,42494,42494,84837,43895,44052,87948,45510,45673,91183,47190,47358,94548,48935,49110,98045
CR. BALLOU,10 639,10 707,21345,11015,11085,22100,11406,11479,22885,11814,11890,23703,12239,12317,24555,12681,12761,25442,13140,13224,26364,13619,13706,27324,14207,14207,28323,14634,14727,29361,15173,15269,30441,15732,15833,31565,16314,16418,32732
CR. GABOU,9 659,9 343,19002,10001,9673,19674,10356,10017,20373,10726,10375,21102,11112,10748,21860,11513,11136,22649,11930,11539,23470,12365,11960,24325,12397,12397,25214,13287,12851,26138,13776,13324,27100,14284,13816,28100,14812,14327,29139
CR. MOUDERY,11 613,11 976,23589,12024,12399,24423,12451,12840,25291,12896,13299,26195,13360,13777,27137,13842,14274,28116,14344,14792,29136,14866,15330,30197,15891,15891,31300,15975,16473,32448,16562,17079,33642,17173,17710,34883,17809,18365,36173
DEPARTEMENT TAMBACOUNDA,151004,148159,299163,156342,153397,309739,161900,158850,320750,167688,164529,332218,173715,170442,344156,179986,176595,356582,186512,182998,369510,193303,189661,382963,196593,196593,396960,207715,203801,411516,215357,211299,426656,223302,219095,442398,231563,227200,458763
COM. TAMBACOUNDA,54 025,53 268,107293,55935,55151,111086,57923,57112,115035,59994,59153,119148,62150,61279,123430,64394,63492,127886,66729,65794,132523,69158,68189,137348,70681,70681,142367,74315,73273,147588,77049,75969,153017,79891,78772,158663,82847,81686,164533
ARRONDISSEMNT KOUSSANAR,23692,22671,46363,24530,23472,48002,25402,24307,49709,26310,25176,51486,27255,26081,53336,28239,27022,55262,29263,28002,57265,30329,29022,59350,30082,30082,61519,32590,31185,63775,33789,32333,66121,35035,33526,68561,36331,34766,71097
CR. KOUSSANAR,13 297,13 064,26362,13767,13526,27294,14257,14007,28264,14767,14508,29275,15297,15029,30327,15850,15572,31422,16424,16136,32561,17022,16724,33746,17335,17335,34980,18291,17971,36262,18964,18632,37597,19664,19319,38984,20391,20034,40426
CR. SINTHIOU MALEM,10 395,9 607,20002,10763,9947,20709,11145,10300,21445,11544,10669,22212,11958,11052,23010,12390,11451,23841,12839,11866,24705,13307,12298,25605,12748,12748,26541,14299,13215,27514,14825,13701,28526,15372,14207,29579,15941,14732,30673
ARRONDISSEMENT MAKACOULIBAN,34753,33947,68700,35982,35147,71129,37261,36397,73657,38593,37698,76291,39980,39053,79032,41423,40463,81886,42925,41930,84855,44488,43456,87944,45044,45044,91158,47805,46696,94501,49563,48414,97977,51392,50200,101593,53293,52057,105351
CR. MAKACOULIBATANG,18 718,18 854,37572,19380,19521,38900,20069,20215,40283,20786,20937,41723,21533,21690,43223,22311,22473,44783,23120,23288,46407,23961,24136,48097,25018,25018,49854,25748,25935,51682,26695,26889,53584,27680,27881,55561,28704,28913,57616
CR. N’DOGA BABACAR,10 337,9 816,20153,10703,10163,20865,11083,10524,21607,11479,10901,22380,11892,11292,23184,12321,11700,24021,12768,12124,24892,13233,12566,25798,13025,13025,26741,14219,13503,27722,14742,13999,28741,15286,14516,29802,15852,15053,30904
CR. NIANI TOUCOULEUR,5 698,5 276,10974,5899,5463,11362,6109,5657,11766,6327,5859,12187,6555,6070,12624,6791,6289,13080,7038,6517,13555,7294,6754,14048,7001,7001,14561,7838,7258,15095,8126,7525,15651,8426,7803,16228,8738,8091,16829
ARRONDISSEMENT MISSIRAH,38534,38273,76807,39896,39626,79522,41315,41035,82349,42792,42502,85293,44329,44029,88359,45930,45619,91549,47595,47273,94868,49328,48994,98322,50785,50785,101915,53006,52647,105653,54956,54584,109539,56984,56598,113581,59091,58691,117783
CR. DIALACOTO,8 523,7 928,16450,8824,8208,17032,9138,8500,17637,9464,8804,18268,9805,9120,18924,10159,9449,19607,10527,9792,20318,10910,10148,21058,10519,10519,21828,11724,10905,22628,12155,11306,23460,12603,11723,24326,13069,12157,25226
CR. MISSIRAH,20 788,20 871,41659,21523,21609,43132,22288,22377,44665,23085,23177,46262,23915,24010,47924,24778,24877,49655,25677,25779,51455,26612,26717,53328,27694,27694,55277,28596,28709,57304,29648,29765,59413,30742,30864,61605,31879,32005,63884
CR. NETTE BOULOU,9 222,9 474,18696,9548,9809,19357,9888,10158,20045,10241,10521,20762,10609,10899,21508,10993,11292,22284,11391,11702,23092,11806,12128,23933,12571,12571,24808,12686,13032,25717,13153,13511,26664,13638,14010,27647,14143,14528,28670
DEPARTEMENT GOUDIRY,57202,57645,114847,59224,59683,118907,61330,61805,123134,63522,64014,127536,65805,66315,132120,68181,68709,136890,70653,71200,141853,73225,73792,147018,76489,76489,152391,78685,79294,157979,81579,82211,163791,84589,85245,169834,87719,88398,176117
COM. GOUDIRY,3 555,3 312,6867,3680,3429,7110,3811,3551,7363,3948,3678,7626,4089,3811,7900,4237,3948,8185,4391,4091,8482,4551,4240,8791,4395,4395,9112,4890,4556,9446,5070,4724,9793,5257,4898,10155,5451,5079,10530
COM. KOTHIARY,2 174,2 069,4244,2251,2142,4394,2331,2219,4550,2415,2298,4713,2502,2380,4882,2592,2466,5059,2686,2556,5242,2784,2649,5433,2746,2746,5631,2991,2846,5838,3101,2951,6053,3216,3060,6276,3335,3173,6508
ARRONDISSEMENT BALA,9942,9945,19887,10293,10297,20590,10659,10663,21322,11040,11044,22084,11437,11441,22878,11850,11854,23704,12280,12284,24563,12727,12731,25458,13196,13196,26388,13676,13680,27356,14179,14183,28362,14702,14707,29409,15246,15251,30496
CR. BALA,3 145,3 006,6151,3256,3113,6368,3372,3223,6595,3492,3339,6831,3618,3459,7076,3748,3583,7332,3884,3713,7597,4026,3849,7874,3989,3989,8162,4326,4136,8461,4485,4288,8772,4650,4446,9096,4822,4610,9432
CR. GOUMBAYEL,2 668,2 556,5224,2763,2646,5409,2861,2740,5601,2963,2838,5801,3070,2940,6010,3180,3046,6227,3296,3157,6452,3416,3271,6687,3391,3391,6932,3670,3515,7186,3805,3645,7450,3946,3779,7725,4092,3919,8011
CR. KOAR,4 129,4 383,8512,4275,4538,8813,4427,4699,9126,4585,4867,9452,4750,5042,9792,4921,5224,10146,5100,5413,10514,5285,5610,10896,5816,5816,11295,5680,6029,11709,5888,6251,12140,6106,6481,12587,6332,6721,13053
AR.RONDISSEMENT BOYNGUEL BAM,19893,20328,40221,20596,21047,41643,21328,21795,43123,22091,22574,44665,22885,23385,46270,23711,24230,47941,24571,25108,49679,25465,26022,51488,26973,26973,53369,27364,27962,55326,28371,28991,57362,29417,30061,59478,30506,31173,61678
CR. DOUGUE,3 576,3 677,7252,3702,3807,7508,3834,3942,7775,3971,4083,8053,4113,4230,8343,4262,4382,8644,4416,4541,8957,4577,4706,9283,4878,4878,9623,4918,5057,9976,5099,5243,10343,5287,5437,10724,5483,5638,11121
CR. BOYNGUEL BAMBA,5 662,5 921,11584,5862,6131,11994,6071,6349,12420,6288,6576,12864,6514,6812,13326,6749,7058,13807,6994,7314,14308,7248,7580,14829,7857,7857,15371,7789,8145,15934,8075,8445,16521,8373,8756,17130,8683,9080,17764
CR. KOUSSAN,3 767,3 931,7698,3900,4070,7970,4039,4215,8253,4183,4366,8549,4334,4523,8856,4490,4686,9175,4653,4856,9508,4822,5032,9854,5216,5216,10214,5182,5408,10589,5373,5607,10979,5571,5814,11384,5777,6029,11805
CR. SINTHIOU MAMADOU BOUBOU,6 889,6 798,13687,7132,7039,14171,7386,7289,14675,7650,7550,15199,7925,7821,15745,8211,8103,16314,8508,8397,16905,8818,8703,17521,9021,9021,18161,9476,9352,18827,9824,9696,19520,10187,10053,20240,10564,10425,20989
ARRONDISSEMENT DIANKE MAKHA,13017,13621,26638,13477,14103,27580,13956,14604,28560,14455,15126,29581,14975,15670,30644,15515,16235,31751,16078,16824,32902,16663,17436,34100,18074,18074,35346,17906,18736,36642,18564,19426,37990,19249,20143,39392,19961,20888,40849
CR. BANI ISRAEL,2 546,2 831,5377,2636,2931,5567,2730,3036,5765,2827,3144,5971,2929,3257,6186,3035,3375,6409,3145,3497,6641,3259,3624,6883,3757,3757,7135,3502,3895,7396,3631,4038,7668,3765,4187,7951,3904,4342,8246
CR. BOUTOUCOUFARA,2 893,2 842,5735,2995,2942,5938,3102,3047,6149,3212,3156,6369,3328,3269,6598,3448,3387,6836,3573,3510,7084,3703,3638,7341,3771,3771,7610,3979,3909,7889,4126,4053,8179,4278,4203,8481,4436,4358,8795
CR. DIANKE MAKHA,3 485,3 624,7109,3608,3752,7360,3736,3885,7622,3870,4024,7894,4009,4169,8178,4154,4319,8473,4304,4476,8781,4461,4639,9100,4808,4808,9433,4794,4985,9779,4970,5168,10139,5153,5359,10513,5344,5557,10902
CR. KOMOTI,4 093,4 324,8417,4238,4477,8715,4389,4636,9024,4546,4802,9347,4709,4974,9683,4879,5154,10032,5056,5341,10396,5240,5535,10775,5737,5737,11169,5631,5948,11578,5838,6166,12004,6053,6394,12447,6277,6631,12907
ARRONDISSEMENT KOULOR,8621,8369,16990,8926,8665,17591,9243,8973,18216,9574,9294,18867,9918,9628,19545,10276,9975,20251,10648,10337,20985,11036,10713,21749,11105,11105,22544,11859,11512,23371,12295,11936,24231,12749,12376,25125,13220,12834,26054
CR. KOULOR,5 853,5 786,11639,6060,5990,12050,6276,6203,12479,6500,6425,12925,6734,6656,13389,6977,6896,13873,7230,7146,14376,7493,7407,14899,7677,7677,15444,8051,7959,16010,8348,8252,16599,8656,8556,17212,8976,8873,17848
CR. SINTHIOU BOCAR ALI,2 768,2 583,5351,2866,2674,5540,2968,2769,5737,3074,2868,5942,3184,2971,6156,3299,3078,6378,3419,3190,6609,3543,3306,6850,3427,3427,7100,3808,3553,7361,3948,3683,7631,4093,3819,7913,4245,3961,8206
DEPARTEMENT KOUMPENTOUM,65987,62446,128433,68320,64654,132973,70749,66952,137701,73278,69346,142624,75911,71838,147749,78652,74431,153083,81504,77130,158634,84471,79938,164409,82860,82860,170418,90769,85898,176667,94108,89058,183167,97581,92344,189925,101190,95760,196951
COM. KOUMPENTOUM,4 982,5 040,10022,5159,5218,10376,5342,5403,10745,5533,5597,11129,5732,5798,11529,5939,6007,11946,6154,6225,12379,6378,6451,12829,6687,6687,13298,6854,6932,13786,7106,7187,14293,7368,7453,14820,7641,7728,15369
COM. MALEM NIANI,1 070,1 010,2079,1108,1045,2152,1147,1082,2229,1188,1121,2309,1231,1161,2392,1275,1203,2478,1321,1247,2568,1369,1292,2661,1340,1340,2759,1471,1389,2860,1526,1440,2965,1582,1493,3074,1640,1548,3188
ARRONDISSEMENT BAMBA THIALEN,27486,26616,54102,28458,27557,56015,29469,28537,58006,30523,29557,60080,31620,30619,62239,32761,31724,64486,33949,32875,66824,35185,34072,69257,35317,35317,71788,37809,36612,74420,39200,37959,77158,40646,39359,80005,42149,40815,82965
CR. BAMBA THIALENE,7 817,7 966,15782,8093,8247,16340,8381,8540,16921,8680,8846,17526,8992,9164,18156,9317,9494,18811,9655,9839,19493,10006,10197,20203,10570,10570,20941,10752,10957,21709,11148,11360,22508,11559,11779,23338,11987,12215,24202
CR. KAHENE,7 811,7 477,15288,8087,7742,15828,8375,8017,16391,8674,8303,16977,8986,8602,17587,9310,8912,18222,9648,9236,18883,9999,9572,19570,9922,9922,20286,10745,10285,21030,11140,10664,21803,11551,11057,22608,11978,11466,23444
CR. MERETO,6 879,6 417,13296,7122,6644,13766,7375,6880,14255,7639,7126,14765,7913,7382,15296,8199,7649,15848,8496,7926,16423,8805,8214,17020,8515,8515,17642,9462,8827,18289,9810,9152,18962,10172,9489,19662,10548,9840,20389
CR. N’DAME,4 980,4 756,9736,5156,4925,10080,5339,5100,10439,5530,5282,10812,5729,5472,11200,5936,5669,11605,6151,5875,12025,6375,6089,12463,6311,6311,12919,6850,6543,13392,7102,6784,13885,7364,7034,14397,7637,7294,14930
ARRONDISSEMENT KOUTHIABA WOL,32449,29781,62230,33596,30834,64430,34791,31930,66720,36034,33072,69106,37329,34260,71589,38677,35497,74174,40079,36784,76863,41538,38123,79662,39516,39516,82573,44636,40966,85601,46278,42473,88750,47985,44040,92025,49760,45669,95429
CR. KOUTHIA GAYDI,5 524,5 138,10661,5719,5319,11038,5922,5508,11430,6134,5705,11839,6354,5910,12264,6584,6124,12707,6823,6346,13168,7071,6577,13647,6817,6817,14146,7598,7067,14665,7878,7327,15204,8168,7597,15765,8471,7878,16349
CR. KOUTHIABA WOLOF,10 107,9 348,19455,10464,9678,20143,10836,10023,20859,11223,10381,21605,11627,10754,22381,12047,11142,23189,12483,11546,24030,12938,11966,24905,12404,12404,25815,13902,12859,26761,14414,13332,27746,14946,13824,28770,15499,14335,29834
CR. PASS KOTO,6 419,5 994,12413,6646,6206,12852,6882,6426,13309,7128,6656,13785,7385,6895,14280,7651,7144,14795,7929,7403,15332,8217,7673,15890,7953,7953,16471,8830,8245,17075,9155,8548,17703,9493,8864,18356,9844,9192,19035
CR. PAYAR,10 399,9 301,19700,10767,9630,20396,11149,9973,21122,11548,10329,21877,11963,10700,22663,12395,11087,23481,12844,11489,24332,13312,11907,25218,12342,12342,26140,14305,12795,27099,14831,13265,28095,15378,13755,29132,15947,14263,30210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
REGION THIES,896572,892292,1788864,921374,916992,1838366,946899,942424,1889323,973049,968500,1941549,999818,995219,1995037,1027194,1022570,2049764,1055165,1050542,2105707,1083713,1079118,2162831,1112817,1108280,2221097,1142454,1138004,2280458,1172603,1168268,2340871,1203216,1199046,2402262,1234259,1230295,2464554
ZONE URBAINE,435885,436228,872112,456080,453911,909991,474396,472154,946550,492363,490061,982424,511907,509552,1021459,531059,528669,1059728,550796,548383,1099179,572200,569775,1141975,593131,590713,1183844,615783,613384,1229167,637896,635538,1273434,661769,659475,1321244,685014,682814,1367828
ZONE RURALE,460 687,456 065,916 752,465294,463081,928375,472502,470269,942771,480686,478439,959125,487911,485667,973578,496135,493901,990036,504369,502159,1006528,511513,509344,1020857,519685,517567,1037252,526671,524620,1051291,534707,532730,1067437,541447,539571,1081018,549245,547481,1096726
DEPARTEMENT MBOUR,338875,330003,668878,348252,339135,687387,357906,348535,706441,367799,358170,725969,377932,368037,745969,388299,378133,766432,398896,388453,787349,409718,398991,808709,420755,409740,830495,432001,420690,852691,443445,431835,875280,455075,443160,898235,466875,454652,921527
COM. JOAL- FADIOUTH,24 214,21 689,45903,24884,22289,47173,25574,22907,48481,26281,23540,49821,27005,24188,51193,27746,24852,52598,28503,25530,54033,29276,26223,55499,30065,26929,56994,30868,27649,58518,31686,28381,60068,32517,29126,61643,33360,29881,63241
COM. M’BOUR,117 596,115 181,232777,120850,118368,239218,124200,121649,245849,127633,125012,252645,131149,128456,259605,134747,131980,266727,138425,135582,274006,142180,139260,281440,146010,143011,289022,149912,146833,296746,153884,150723,304607,157919,154676,312596,162014,158687,320702
COM. GUEKOKH,13 643,13 390,27033,14021,13760,27781,14409,14142,28551,14807,14533,29340,15215,14933,30149,15633,15343,30976,16059,15761,31821,16495,16189,32684,16940,16625,33565,17392,17069,34462,17853,17522,35375,18321,17981,36303,18796,18447,37244
COM. THIADIAYE,7 321,7 654,14976,7524,7866,15390,7732,8084,15817,7946,8308,16254,8165,8536,16702,8389,8771,17160,8618,9010,17629,8852,9254,18107,9090,9504,18595,9333,9758,19092,9580,10016,19597,9832,10279,20111,10087,10545,20633
COM. N’GAPAROU,5 103,4 422,9525,5244,4545,9789,5389,4670,10060,5538,4800,10338,5691,4932,10623,5847,5067,10914,6006,5205,11212,6169,5347,11516,6336,5491,11826,6505,5637,12143,6677,5787,12464,6852,5939,12791,7030,6092,13123
